category,pattern
all-reduce/comm,"reduce_scatter|all_?reduce|allgather|all_gather|nccl|rccl|cross_device|quick.*reduce|custom_all|mnnvl"
DSA indexer+topk,"paged_mqa_logits|mqa_logits|deepgemm_fp8_paged|hadamard|topk_transform|radix_topk|indexer|transform_index|convert_req_index|fused_qk_rmsnorm_group_quant|dsa_decode_metadata|dsa_draft_extend_metadata|fused_metadata_copy|topk_main_kernel|topk_persistent_cluster|topk_small_batch|topk_plan"
sparse-MLA attn,"sparse_mla|_mla_|\bmla\b|mla_decode|mla_fwd|flash.*mla|aiter\d*::mla|mla_a8w8|fmhasm100|hqk576"
MoE up/gate GEMM (moe1),"moe1|moe_?stage1|gate_?up|silu_mul|silu_and_mul|gemm1_a4w4|mxmoe_g1|bmm_e2m1_"
MoE down GEMM (moe2),"moe2|moe_?stage2|down_proj_moe|gemm2_a4w4|mxmoe_g2|bmm_bfloat16_e2m1"
MoE GEMM (bf16/other),"kernel_moe_gemm|kernel_moe_mxgemm|bmm_bfloat16_bfloat16"
MoE routing/other,"moe_sort|moe_align|moe_sorting|fused_moe|fused_mx_quant_moe|grouped_?gemm|group_?gemm|grouped_topk|moe_reduction|append_shared_expert|mxfp4_moe|\bmoe\b|expert|router_gemm|routingindices|routingcustom|finalizekernel"
dense/linear GEMM,"cijk|hgemm|\bgemm\b|cshuffle|gemm_xdl|tensile|matmul|wgrad|a8w8|f8_.*gemm|gemm_a8|gemm_afp4|bf16gemm|nvjet|cublas|splitkreduce|fused_a_gemm|batched_gemm"
sampling/verify tree,"softmax|argmax|maxops|build_tree|verify_tree|draft_topk|topk1_partial|sample|multinomial"
rope/kv-cache,"rope|kv_?cache|cache_flat|set_kv|store_kv|reshape_and_cache|append_kv|sbhd_cached|set_mla_kv"
rmsnorm/quant/act,"rmsnorm|\bnorm\b|_norm_|norm_kernel|layernorm|quant|dequant|silu|gelu|activation|scaled_|act_and_mul"
embedding,"embed"
elementwise/other,"elementwise|\bcopy\b|copybuffer|\bcast\b|\bfill\b|memset|\badd\b|vectorized_elementwise|index_|permute|transpose|\bcat\b|catarray|concat|masked_embedding|triton_poi_fused|triton_red_fused|fused_mul|fused_gather|unsqueeze|gather|rocprim|cub::|scan_|reduce_kernel"
